inspection_type,job_progress,latitude,longitude,inspection_date,result,approved_date
BAIT,121,40.718008702954,-73.99342724941,2017-06-15 09:50:43,Monitoring visit,2017-06-19 08:19:07
BAIT,117,40.718008702954,-73.99342724941,2017-06-09 10:20:03,Bait applied,2017-06-14 13:28:48
BAIT,120,40.718008702954,-73.99342724941,2017-06-09 09:50:20,Bait applied,2017-06-14 13:29:03
BAIT,116,40.718008702954,-73.99342724941,2017-06-08 10:20:03,Monitoring visit,2017-06-09 14:20:34
BAIT,119,40.718008702954,-73.99342724941,2017-06-08 09:50:26,Monitoring visit,2017-06-09 14:20:27
BAIT,115,40.718008702954,-73.99342724941,2017-06-02 10:20:15,Bait applied,2017-06-09 14:20:06
BAIT,118,40.718008702954,-73.99342724941,2017-06-02 09:50:56,Bait applied,2017-06-09 14:20:19
BAIT,114,40.718008702954,-73.99342724941,2017-06-01 10:20:17,Monitoring visit,2017-06-01 14:49:03
BAIT,117,40.718008702954,-73.99342724941,2017-06-01 09:50:41,Monitoring visit,2017-06-01 14:48:55
BAIT,113,40.718008702954,-73.99342724941,2017-05-25 10:20:54,Monitoring visit,2017-05-30 11:44:17
BAIT,116,40.718008702954,-73.99342724941,2017-05-25 09:50:42,Monitoring visit,2017-05-30 11:44:12
BAIT,112,40.718008702954,-73.99342724941,2017-05-19 12:00:21,Bait applied,2017-05-23 08:11:36
BAIT,115,40.718008702954,-73.99342724941,2017-05-19 11:20:47,Bait applied,2017-05-23 08:11:42
BAIT,111,40.718008702954,-73.99342724941,2017-05-12 12:10:33,Bait applied,2017-05-15 07:39:38
BAIT,114,40.718008702954,-73.99342724941,2017-05-12 11:40:01,Bait applied,2017-05-15 07:39:31
BAIT,113,40.718008702954,-73.99342724941,2017-04-27 09:50:45,Monitoring visit,2017-05-08 09:11:51
BAIT,110,40.718008702954,-73.99342724941,2017-04-21 10:20:42,Monitoring visit,2017-04-24 10:17:09
BAIT,112,40.718008702954,-73.99342724941,2017-04-21 09:50:44,Monitoring visit,2017-04-24 10:17:03
BAIT,109,40.718008702954,-73.99342724941,2017-04-14 10:20:46,Bait applied,2017-04-14 14:55:45
BAIT,111,40.718008702954,-73.99342724941,2017-04-14 09:50:22,Bait applied,2017-04-14 14:55:27
BAIT,108,40.718008702954,-73.99342724941,2017-04-13 10:20:21,Monitoring visit,2017-04-14 14:55:37
BAIT,110,40.718008702954,-73.99342724941,2017-04-13 09:50:03,Monitoring visit,2017-04-14 14:55:19
BAIT,107,40.718008702954,-73.99342724941,2017-04-07 11:30:27,Bait applied,2017-04-10 08:33:25
BAIT,109,40.718008702954,-73.99342724941,2017-04-07 11:00:16,Bait applied,2017-04-10 08:33:03
BAIT,108,40.718008702954,-73.99342724941,2017-04-06 09:50:31,Monitoring visit,2017-04-07 08:23:58
BAIT,106,40.718008702954,-73.99342724941,2017-03-30 10:20:01,Monitoring visit,2017-03-31 07:48:55
BAIT,107,40.718008702954,-73.99342724941,2017-03-30 09:50:25,Monitoring visit,2017-03-31 07:43:03
BAIT,105,40.718008702954,-73.99342724941,2017-03-24 10:20:25,Bait applied,2017-03-29 08:43:58
BAIT,106,40.718008702954,-73.99342724941,2017-03-24 09:50:32,Bait applied,2017-03-29 08:42:51
BAIT,104,40.718008702954,-73.99342724941,2017-03-09 10:20:35,Monitoring visit,2017-03-13 09:48:48
BAIT,105,40.718008702954,-73.99342724941,2017-03-09 09:50:21,Monitoring visit,2017-03-13 09:48:42
BAIT,103,40.718008702954,-73.99342724941,2017-03-02 10:20:04,Monitoring visit,2017-03-03 13:04:29
BAIT,104,40.718008702954,-73.99342724941,2017-03-02 09:50:06,Monitoring visit,2017-03-03 13:04:38
BAIT,102,40.718008702954,-73.99342724941,2017-02-24 12:30:17,Bait applied,2017-02-28 14:16:16
BAIT,103,40.718008702954,-73.99342724941,2017-02-24 12:00:55,Bait applied,2017-02-28 14:16:24
BAIT,101,40.718008702954,-73.99342724941,2017-02-16 12:30:12,Monitoring visit,2017-02-17 07:38:06
BAIT,102,40.718008702954,-73.99342724941,2017-02-16 12:00:15,Monitoring visit,2017-02-17 07:37:49
BAIT,100,40.718008702954,-73.99342724941,2017-02-03 13:05:47,Bait applied,2017-02-07 13:59:59
BAIT,101,40.718008702954,-73.99342724941,2017-02-03 12:35:19,Bait applied,2017-02-07 13:59:03
BAIT,99,40.718008702954,-73.99342724941,2017-02-02 10:20:07,Monitoring visit,2017-02-06 08:04:45
BAIT,100,40.718008702954,-73.99342724941,2017-02-02 09:50:47,Monitoring visit,2017-02-06 08:04:23
BAIT,98,40.718008702954,-73.99342724941,2017-01-27 10:20:30,Bait applied,2017-01-30 15:20:11
BAIT,99,40.718008702954,-73.99342724941,2017-01-27 09:50:03,Bait applied,2017-01-30 15:20:04
BAIT,97,40.718008702954,-73.99342724941,2017-01-26 10:20:38,Monitoring visit,2017-01-27 07:35:47
BAIT,98,40.718008702954,-73.99342724941,2017-01-26 09:50:18,Monitoring visit,2017-01-27 07:35:35
BAIT,96,40.718008702954,-73.99342724941,2017-01-20 10:20:18,Bait applied,2017-01-23 09:22:00
BAIT,97,40.718008702954,-73.99342724941,2017-01-20 09:50:10,Bait applied,2017-01-23 09:21:54
BAIT,95,40.718008702954,-73.99342724941,2017-01-13 12:40:18,Bait applied,2017-01-18 07:49:39
BAIT,96,40.718008702954,-73.99342724941,2017-01-13 12:10:40,Bait applied,2017-01-18 07:49:05
BAIT,94,40.718008702954,-73.99342724941,2017-01-12 10:20:20,Monitoring visit,2017-01-13 08:39:27
BAIT,95,40.718008702954,-73.99342724941,2017-01-12 09:50:35,Monitoring visit,2017-01-13 08:39:23
BAIT,93,40.718008702954,-73.99342724941,2017-01-06 10:20:38,Bait applied,2017-01-09 08:57:58
BAIT,94,40.718008702954,-73.99342724941,2017-01-06 09:50:06,Bait applied,2017-01-09 08:57:38
BAIT,92,40.718008702954,-73.99342724941,2017-01-05 10:20:07,Monitoring visit,2017-01-06 10:44:17
BAIT,93,40.718008702954,-73.99342724941,2017-01-05 09:50:22,Monitoring visit,2017-01-06 10:57:49
BAIT,91,40.718008702954,-73.99342724941,2016-12-29 10:20:24,Monitoring visit,2016-12-30 07:46:14
BAIT,92,40.718008702954,-73.99342724941,2016-12-29 09:50:50,Monitoring visit,2016-12-30 07:45:45
INITIAL,1,40.718008702954,-73.99342724941,2016-12-23 15:38:05,Active Rat Signs,2016-12-30 08:51:03
BAIT,90,40.718008702954,-73.99342724941,2016-12-23 09:50:42,Bait applied,2016-12-27 08:38:56
BAIT,91,40.718008702954,-73.99342724941,2016-12-23 09:20:20,Bait applied,2016-12-27 08:44:37
BAIT,89,40.718008702954,-73.99342724941,2016-12-22 10:20:06,Monitoring visit,2016-12-23 08:02:55
BAIT,90,40.718008702954,-73.99342724941,2016-12-22 09:50:16,Monitoring visit,2016-12-23 08:01:55
BAIT,88,40.718008702954,-73.99342724941,2016-12-15 10:20:24,Monitoring visit,2016-12-22 08:06:14
BAIT,89,40.718008702954,-73.99342724941,2016-12-15 09:50:07,Monitoring visit,2016-12-22 08:05:42
BAIT,87,40.718008702954,-73.99342724941,2016-12-09 10:20:41,Bait applied,2016-12-13 07:59:17
BAIT,88,40.718008702954,-73.99342724941,2016-12-09 09:50:36,Bait applied,2016-12-13 07:59:30
BAIT,86,40.718008702954,-73.99342724941,2016-12-01 10:20:53,Monitoring visit,2016-12-02 08:02:57
BAIT,87,40.718008702954,-73.99342724941,2016-12-01 09:50:00,Monitoring visit,2016-12-02 08:02:39
BAIT,85,40.718008702954,-73.99342724941,2016-11-25 10:20:25,Monitoring visit,2016-11-28 08:16:05
BAIT,86,40.718008702954,-73.99342724941,2016-11-25 09:50:52,Monitoring visit,2016-11-28 08:15:20
BAIT,84,40.718008702954,-73.99342724941,2016-11-17 10:20:38,Monitoring visit,2016-11-18 09:03:30
BAIT,85,40.718008702954,-73.99342724941,2016-11-17 09:50:37,Monitoring visit,2016-11-18 09:03:22
BAIT,83,40.718008702954,-73.99342724941,2016-11-10 12:00:50,Bait applied,2016-11-14 07:42:50
BAIT,84,40.718008702954,-73.99342724941,2016-11-10 11:30:50,Bait applied,2016-11-14 07:42:56
BAIT,82,40.718008702954,-73.99342724941,2016-11-09 10:20:13,Monitoring visit,2016-11-10 12:04:28
BAIT,83,40.718008702954,-73.99342724941,2016-11-09 09:50:54,Monitoring visit,2016-11-10 12:04:14
BAIT,81,40.718008702954,-73.99342724941,2016-11-04 11:00:47,Bait applied,2016-11-07 08:19:08
BAIT,82,40.718008702954,-73.99342724941,2016-11-04 10:20:28,Bait applied,2016-11-07 08:19:15
BAIT,80,40.718008702954,-73.99342724941,2016-11-03 10:45:49,Monitoring visit,2016-11-03 15:28:21
BAIT,81,40.718008702954,-73.99342724941,2016-11-03 10:00:17,Monitoring visit,2016-11-03 15:28:13
BAIT,79,40.718008702954,-73.99342724941,2016-10-28 11:30:04,Bait applied,2016-10-31 07:56:45
BAIT,80,40.718008702954,-73.99342724941,2016-10-28 11:00:26,Bait applied,2016-10-31 07:56:52
BAIT,78,40.718008702954,-73.99342724941,2016-10-27 13:20:16,Monitoring visit,2016-10-28 09:01:03
BAIT,79,40.718008702954,-73.99342724941,2016-10-27 12:50:01,Monitoring visit,2016-10-28 09:00:57
BAIT,77,40.718008702954,-73.99342724941,2016-10-20 13:25:52,Monitoring visit,2016-10-21 15:30:28
BAIT,78,40.718008702954,-73.99342724941,2016-10-20 12:55:09,Monitoring visit,2016-10-21 15:30:20
BAIT,76,40.718008702954,-73.99342724941,2016-10-13 10:20:06,Monitoring visit,2016-10-17 15:30:55
BAIT,77,40.718008702954,-73.99342724941,2016-10-13 09:50:16,Monitoring visit,2016-10-17 15:31:05
BAIT,75,40.718008702954,-73.99342724941,2016-10-07 10:20:09,Bait applied,2016-10-11 08:36:28
BAIT,76,40.718008702954,-73.99342724941,2016-10-07 09:50:11,Bait applied,2016-10-11 08:36:37
BAIT,74,40.718008702954,-73.99342724941,2016-09-29 12:30:41,Monitoring visit,2016-10-07 11:11:06
BAIT,75,40.718008702954,-73.99342724941,2016-09-29 12:00:26,Monitoring visit,2016-10-07 11:11:26
BAIT,73,40.718008702954,-73.99342724941,2016-09-23 13:20:53,Bait applied,2016-10-07 09:56:42
BAIT,74,40.718008702954,-73.99342724941,2016-09-23 12:50:29,Bait applied,2016-10-07 09:40:33
BAIT,72,40.718008702954,-73.99342724941,2016-09-22 10:20:31,Monitoring visit,2016-09-23 09:11:47
BAIT,73,40.718008702954,-73.99342724941,2016-09-22 09:50:07,Monitoring visit,2016-09-23 09:11:40
BAIT,71,40.718008702954,-73.99342724941,2016-09-16 11:30:09,Bait applied,2016-09-16 15:06:59
BAIT,72,40.718008702954,-73.99342724941,2016-09-16 11:00:19,Bait applied,2016-09-16 15:07:12
BAIT,70,40.718008702954,-73.99342724941,2016-09-15 12:45:59,Monitoring visit,2016-09-15 15:31:23
BAIT,71,40.718008702954,-73.99342724941,2016-09-15 12:25:49,Monitoring visit,2016-09-15 15:31:15
BAIT,69,40.718008702954,-73.99342724941,2016-09-09 12:50:35,Bait applied,2016-09-12 09:31:07
BAIT,70,40.718008702954,-73.99342724941,2016-09-09 12:20:28,Bait applied,2016-09-12 09:30:54
BAIT,68,40.718008702954,-73.99342724941,2016-09-02 10:20:41,Bait applied,2016-09-06 11:05:04
BAIT,69,40.718008702954,-73.99342724941,2016-09-02 09:50:34,Bait applied,2016-09-06 11:04:35
BAIT,67,40.718008702954,-73.99342724941,2016-09-01 12:50:19,Monitoring visit,2016-09-02 10:28:33
BAIT,68,40.718008702954,-73.99342724941,2016-09-01 12:20:33,Monitoring visit,2016-09-02 10:28:23
BAIT,66,40.718008702954,-73.99342724941,2016-08-26 10:20:20,Bait applied,2016-08-26 14:53:38
BAIT,67,40.718008702954,-73.99342724941,2016-08-26 09:50:34,Bait applied,2016-08-26 14:53:28
BAIT,65,40.718008702954,-73.99342724941,2016-08-25 10:20:45,Monitoring visit,2016-08-26 08:18:02
BAIT,66,40.718008702954,-73.99342724941,2016-08-25 09:50:16,Monitoring visit,2016-08-26 08:17:53
BAIT,64,40.718008702954,-73.99342724941,2016-08-19 10:20:59,Bait applied,2016-08-22 08:37:44
BAIT,65,40.718008702954,-73.99342724941,2016-08-19 09:50:13,Bait applied,2016-08-22 08:37:33
BAIT,63,40.718008702954,-73.99342724941,2016-08-12 10:20:55,Bait applied,2016-08-15 08:02:24
BAIT,64,40.718008702954,-73.99342724941,2016-08-12 09:50:05,Bait applied,2016-08-15 08:02:13
BAIT,62,40.718008702954,-73.99342724941,2016-08-11 10:20:46,Monitoring visit,2016-08-12 09:59:43
BAIT,63,40.718008702954,-73.99342724941,2016-08-11 09:50:09,Monitoring visit,2016-08-12 09:59:28
BAIT,61,40.718008702954,-73.99342724941,2016-08-05 10:20:14,Bait applied,2016-08-05 15:00:14
BAIT,62,40.718008702954,-73.99342724941,2016-08-05 09:50:30,Bait applied,2016-08-05 15:00:26
BAIT,60,40.718008702954,-73.99342724941,2016-08-04 10:20:15,Monitoring visit,2016-08-05 12:29:32
BAIT,61,40.718008702954,-73.99342724941,2016-08-04 09:50:06,Monitoring visit,2016-08-05 12:29:24
BAIT,59,40.718008702954,-73.99342724941,2016-07-29 11:50:38,Bait applied,2016-08-02 14:45:12
BAIT,60,40.718008702954,-73.99342724941,2016-07-29 11:20:12,Bait applied,2016-08-02 14:44:50
BAIT,58,40.718008702954,-73.99342724941,2016-07-28 12:00:52,Monitoring visit,2016-07-28 15:00:57
BAIT,59,40.718008702954,-73.99342724941,2016-07-28 11:30:33,Monitoring visit,2016-07-28 15:00:47
BAIT,57,40.718008702954,-73.99342724941,2016-07-22 10:20:45,Bait applied,2016-07-22 15:21:55
BAIT,58,40.718008702954,-73.99342724941,2016-07-22 09:50:30,Bait applied,2016-07-22 15:21:44
