zipcode,population,year
10003,57068,2014
10004,3024,2014
10005,7570,2014
10006,2950,2014
10007,6748,2014
10009,61806,2014
10010,30708,2014
10011,52941,2014
10012,24846,2014
10013,26937,2014
10014,31835,2014
10016,50112,2014
10017,16278,2014
10018,8062,2014
10019,38752,2014
10020,0,2014
10021,42142,2014
10022,29699,2014
10023,60762,2014
10024,59249,2014
10025,97373,2014
10026,38372,2014
10027,63057,2014
10028,46169,2014
10029,77857,2014
10030,29530,2014
10031,58912,2014
10032,59069,2014
10033,60520,2014
10034,42672,2014
10035,34760,2014
10036,24127,2014
10037,18041,2014
10038,20997,2014
10039,25952,2014
10040,45278,2014
10044,12050,2014
10065,31761,2014
10069,5523,2014
10075,24377,2014
10103,0,2014
10110,1,2014
10112,0,2014
10115,0,2014
10119,0,2014
10128,62447,2014
10152,0,2014
10153,0,2014
10154,0,2014
10162,1252,2014
10165,0,2014
10167,0,2014
10168,0,2014
10169,0,2014
10170,0,2014
10171,0,2014
10172,0,2014
10173,0,2014
10174,0,2014
10177,0,2014
10271,0,2015
10278,0,2015
10279,0,2015
10280,9552,2015
10282,5730,2015
10463,71981,2015
10001,23537,2015
10002,80736,2015
10003,57112,2015
10004,3221,2015
10005,8131,2015
10006,3110,2015
10007,6876,2015
10009,60865,2015
10010,31447,2015
10011,52349,2015
10012,24163,2015
10013,27415,2015
10014,30727,2015
10016,50641,2015
10017,16472,2015
10018,9168,2015
10019,38830,2015
10020,0,2015
10021,43573,2015
10022,30607,2015
10023,60586,2015
10024,58391,2015
10025,96068,2015
10026,38310,2015
10027,64413,2015
10028,46883,2015
10029,79251,2015
10030,29209,2015
10031,59244,2015
10032,62685,2015
10033,59844,2015
10034,43405,2015
10035,33920,2015
10036,25799,2015
10037,18777,2015
10038,21464,2015
10039,26697,2015
10040,44378,2015
10044,11783,2015
10065,30237,2015
10069,5526,2015
10075,25756,2015
10103,0,2015
10110,0,2015
10112,0,2015
10115,0,2015
10119,0,2015
10128,61927,2015
10152,0,2015
10153,0,2015
10154,0,2015
10162,1289,2015
10165,0,2015
10167,0,2015
10168,0,2015
10169,0,2015
10170,0,2015
10171,0,2015
10172,0,2015
10173,0,2015
10174,0,2015
10177,0,2015
10271,0,2016
10278,0,2016
10279,0,2016
10280,9845,2016
10282,5635,2016
10463,71657,2016
10001,23332,2016
10002,78096,2016
10003,56767,2016
10004,3044,2016
10005,8710,2016
10006,3277,2016
10007,6740,2016
10009,59799,2016
10010,32854,2016
10011,50404,2016
10012,24536,2016
10013,28211,2016
10014,31464,2016
10016,50444,2016
10017,16533,2016
10018,9684,2016
10019,39505,2016
10020,0,2016
10021,45261,2016
10022,30262,2016
10023,60307,2016
10024,58516,2016
10025,94717,2016
10026,38540,2016
10027,64120,2016
10028,48205,2016
10029,79411,2016
10030,30358,2016
10031,60778,2016
10032,63189,2016
10033,59353,2016
10034,43951,2016
10035,34187,2016
10036,25987,2016
10037,20112,2016
10038,22300,2016
10039,27471,2016
10040,45033,2016
10044,11731,2016
10065,30001,2016
10069,5231,2016
10075,23353,2016
