zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10002,2010-03,4.0,0.0,73.0,798.0,5.0,10002 2010-03
10002,2010-04,10.0,0.0,120.0,321.0,5.0,10002 2010-04
10002,2010-05,30.0,0.0,16.0,7.0,9.0,10002 2010-05
10002,2010-06,73.0,0.0,6.0,5.0,8.0,10002 2010-06
10002,2010-07,38.0,0.0,7.0,19.0,9.0,10002 2010-07
10002,2010-08,51.0,0.0,7.0,30.0,11.0,10002 2010-08
10002,2010-09,43.0,0.0,8.0,2.0,10.0,10002 2010-09
10002,2010-10,21.0,0.0,13.0,17.0,15.0,10002 2010-10
10002,2010-11,11.0,0.0,5.0,13.0,7.0,10002 2010-11
10002,2010-12,1.0,0.0,15.0,16.0,1.0,10002 2010-12
10002,2011-01,5.0,0.0,3.0,7.0,15.0,10002 2011-01
10002,2011-02,0.0,0.0,5.0,5.0,11.0,10002 2011-02
10002,2011-03,25.0,1.0,6.0,48.0,4.0,10002 2011-03
10002,2011-04,20.0,0.0,9.0,1574.0,7.0,10002 2011-04
10002,2011-05,33.0,0.0,122.0,109.0,10.0,10002 2011-05
10002,2011-06,63.0,0.0,70.0,24.0,10.0,10002 2011-06
10002,2011-07,54.0,0.0,5.0,14.0,10.0,10002 2011-07
10002,2011-08,40.0,0.0,10.0,6.0,4.0,10002 2011-08
10002,2011-09,11.0,0.0,7.0,19.0,14.0,10002 2011-09
10002,2011-10,19.0,0.0,12.0,15.0,11.0,10002 2011-10
10002,2011-11,21.0,0.0,12.0,12.0,3.0,10002 2011-11
10002,2011-12,33.0,0.0,11.0,62.0,7.0,10002 2011-12
10002,2012-01,24.0,0.0,59.0,53.0,7.0,10002 2012-01
10002,2012-02,50.0,0.0,13.0,12.0,3.0,10002 2012-02
10002,2012-03,30.0,0.0,8.0,19.0,7.0,10002 2012-03
10002,2012-04,9.0,1.0,10.0,301.0,11.0,10002 2012-04
10002,2012-05,2.0,0.0,34.0,1311.0,27.0,10002 2012-05
10002,2012-06,34.0,0.0,97.0,62.0,24.0,10002 2012-06
10002,2012-07,55.0,0.0,0.0,16.0,28.0,10002 2012-07
10002,2012-08,3.0,0.0,16.0,16.0,40.0,10002 2012-08
10002,2012-09,12.0,0.0,4.0,3.0,14.0,10002 2012-09
10002,2012-10,9.0,0.0,6.0,15.0,11.0,10002 2012-10
10002,2012-11,0.0,0.0,2.0,3.0,10.0,10002 2012-11
10002,2012-12,36.0,0.0,16.0,23.0,8.0,10002 2012-12
10002,2013-01,29.0,0.0,10.0,46.0,9.0,10002 2013-01
10002,2013-02,7.0,0.0,21.0,15.0,11.0,10002 2013-02
10002,2013-03,21.0,0.0,24.0,732.0,7.0,10002 2013-03
10002,2013-04,36.0,0.0,33.0,911.0,15.0,10002 2013-04
10002,2013-05,18.0,0.0,59.0,4.0,9.0,10002 2013-05
10002,2013-06,25.0,3.0,3.0,6.0,9.0,10002 2013-06
10002,2013-07,16.0,0.0,3.0,13.0,11.0,10002 2013-07
10002,2013-08,14.0,0.0,4.0,11.0,10.0,10002 2013-08
10002,2013-09,13.0,0.0,17.0,14.0,11.0,10002 2013-09
10002,2013-10,41.0,0.0,2.0,5.0,14.0,10002 2013-10
10002,2013-11,23.0,0.0,10.0,20.0,9.0,10002 2013-11
10002,2013-12,6.0,0.0,12.0,5.0,10.0,10002 2013-12
10002,2014-01,8.0,0.0,4.0,15.0,7.0,10002 2014-01
10002,2014-02,0.0,0.0,12.0,16.0,8.0,10002 2014-02
10002,2014-03,5.0,0.0,1.0,12.0,11.0,10002 2014-03
10002,2014-04,5.0,0.0,7.0,1671.0,9.0,10002 2014-04
10002,2014-05,27.0,0.0,60.0,46.0,20.0,10002 2014-05
10002,2014-06,42.0,0.0,93.0,2.0,17.0,10002 2014-06
10002,2014-07,50.0,0.0,5.0,1.0,17.0,10002 2014-07
10002,2014-08,30.0,0.0,1.0,8.0,21.0,10002 2014-08
10002,2014-09,2.0,0.0,1.0,27.0,16.0,10002 2014-09
10002,2014-10,5.0,0.0,15.0,19.0,19.0,10002 2014-10
10002,2014-11,11.0,0.0,1.0,17.0,21.0,10002 2014-11
10002,2014-12,42.0,0.0,7.0,12.0,11.0,10002 2014-12
10002,2015-01,17.0,0.0,2.0,11.0,12.0,10002 2015-01
10002,2015-02,20.0,0.0,3.0,21.0,14.0,10002 2015-02
10002,2015-03,25.0,0.0,19.0,962.0,20.0,10002 2015-03
10002,2015-04,62.0,0.0,63.0,820.0,40.0,10002 2015-04
10002,2015-05,60.0,0.0,1.0,1.0,26.0,10002 2015-05
10002,2015-06,22.0,0.0,81.0,1.0,16.0,10002 2015-06
10002,2015-07,44.0,0.0,31.0,20.0,29.0,10002 2015-07
10002,2015-08,84.0,0.0,7.0,11.0,20.0,10002 2015-08
10002,2015-09,54.0,0.0,6.0,58.0,37.0,10002 2015-09
10002,2015-10,91.0,0.0,21.0,20.0,16.0,10002 2015-10
10002,2015-11,53.0,0.0,13.0,23.0,15.0,10002 2015-11
10002,2015-12,50.0,0.0,0.0,221.0,18.0,10002 2015-12
10002,2016-01,44.0,0.0,4.0,374.0,12.0,10002 2016-01
10002,2016-02,44.0,0.0,1.0,9.0,17.0,10002 2016-02
10002,2016-03,60.0,0.0,83.0,16.0,19.0,10002 2016-03
10002,2016-04,44.0,0.0,8.0,17.0,15.0,10002 2016-04
10002,2016-05,57.0,0.0,1.0,979.0,23.0,10002 2016-05
10002,2016-06,60.0,0.0,34.0,290.0,19.0,10002 2016-06
10002,2016-07,106.0,0.0,55.0,2.0,11.0,10002 2016-07
10002,2016-08,173.0,0.0,39.0,25.0,30.0,10002 2016-08
10002,2016-09,166.0,0.0,8.0,25.0,31.0,10002 2016-09
10002,2016-10,46.0,0.0,15.0,27.0,17.0,10002 2016-10
10002,2016-11,76.0,2.0,5.0,10.0,12.0,10002 2016-11
10002,2016-12,56.0,0.0,8.0,1513.0,8.0,10002 2016-12
10002,2017-01,40.0,0.0,95.0,196.0,14.0,10002 2017-01
10002,2017-02,136.0,0.0,54.0,3.0,12.0,10002 2017-02
10002,2017-03,71.0,0.0,3.0,6.0,15.0,10002 2017-03
10002,2017-04,90.0,0.0,7.0,31.0,15.0,10002 2017-04
10002,2017-05,109.0,0.0,10.0,11.0,23.0,10002 2017-05
10002,2017-06,31.0,0.0,24.0,52.0,18.0,10002 2017-06
10002,2017-07,39.0,0.0,13.0,22.0,21.0,10002 2017-07
10002,2017-08,57.0,0.0,11.0,263.0,15.0,10002 2017-08
